core.attribute_targets,stg_attribute_targets
core.attribute_values,stg_attribute_values
core.forms,stg_forms
core.routes,stg_routes
core.items,stg_items
core.notes,stg_notes
core.organizations,stg_organizations
core.stops,stg_stops
core.users,stg_users
core.purchasers,stg_purchasers
core.purchaser_factors,stg_purchaser_factors
core.leases,stg_leases
core.template_definitions,stg_template_definitions
core.template_submissions,stg_template_submissions
core.template_submission_edits,stg_template_submission_edits
core.attribute_types,stg_attribute_types
core.organization_units,stg_organization_units
core.mv_items,dim_items
core.mv_stops,dim_stops
core.mv_routes,dim_routes
core.mv_production_item_lookup,dim_production_item
core.mv_stop_headers,dim_stop_headers
core.mv_users,dim_users
pivot_items,item_crosstab
pivot_tickets,tickets_crosstab
pivot_forms,forms_crosstab
pivot_flowback_items,flowback_items_crosstab
